City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,Brae,GB,60.3964,-1.353,51.71,76,100,45.37,overcast clouds
162,Montepuez,MZ,-13.1256,38.9997,71.06,89,83,5.95,broken clouds
163,Richards Bay,ZA,-28.783,32.0377,76.77,74,100,6.91,overcast clouds
164,Coihaique,CL,-45.5752,-72.0662,49.95,76,75,5.75,broken clouds
165,Sisimiut,GL,66.9395,-53.6735,15.26,84,16,10.31,few clouds
166,Hun,LY,29.1268,15.9477,45.77,61,2,5.12,clear sky
167,Kroya,ID,-7.6331,109.2461,90.19,65,83,7.05,broken clouds
168,Yanam,IN,16.7333,82.2167,81.0,75,98,9.75,overcast clouds
169,Resavica,RS,44.0408,21.5816,29.1,99,100,5.37,light snow
170,Sibu,MY,2.3,111.8167,84.51,79,40,5.01,scattered clouds
171,Ancud,CL,-41.8697,-73.8203,49.53,81,100,3.89,overcast clouds
172,Upernavik,GL,72.7868,-56.1549,6.94,93,100,11.45,overcast clouds
173,Trofors,NO,65.5333,13.4063,40.35,95,100,6.42,overcast clouds
174,Bengkulu,ID,-3.8004,102.2655,84.22,65,49,5.06,scattered clouds
175,Mitsamiouli,KM,-11.3847,43.2844,79.09,73,20,3.44,few clouds
176,Cavalcante,BR,-13.7975,-47.4583,69.75,94,100,0.27,heavy intensity rain
177,Ouesso,CG,1.6136,16.0517,71.29,95,96,2.48,overcast clouds
178,Banda Aceh,ID,5.5577,95.3222,84.2,65,71,11.5,broken clouds
179,Katsuura,JP,35.1333,140.3,59.11,42,39,13.06,scattered clouds
180,Hasaki,JP,35.7333,140.8333,55.29,31,54,16.33,broken clouds
181,Cap Malheureux,MU,-19.9842,57.6142,80.47,67,6,8.99,clear sky
182,Moerai,PF,-22.4333,-151.3333,79.23,73,56,4.47,broken clouds
183,Cabo San Lucas,MX,22.8909,-109.9124,73.15,76,58,4.34,broken clouds
184,Margate,GB,51.3813,1.3862,51.96,80,100,4.0,overcast clouds
185,Roald,NO,62.5833,6.1333,45.09,70,75,11.5,broken clouds
186,Shahreza,IR,32.0339,51.8794,38.98,40,17,0.92,few clouds
187,Minot,US,48.2325,-101.2963,35.82,69,20,10.36,few clouds
188,Vitoria Da Conquista,BR,-14.8661,-40.8394,61.72,94,94,3.85,overcast clouds
189,Asau,RO,46.4333,26.4,37.4,82,100,2.35,overcast clouds
190,Lompoc,US,34.6391,-120.4579,52.79,85,1,5.75,clear sky
191,Mayumba,GA,-3.432,10.6554,76.33,92,100,3.98,light rain
192,Kisangani,CD,0.5167,25.2,70.48,99,100,0.69,overcast clouds
