City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Bahar,IR,34.9072,48.4414,36.28,29,62,1.41,broken clouds
312,Meridian,US,43.6121,-116.3915,45.14,72,90,3.0,overcast clouds
313,Tangier,MA,35.7806,-5.8137,58.35,77,0,17.27,clear sky
314,Bela,IN,25.9333,81.9833,65.28,43,2,1.21,clear sky
315,Hambantota,LK,6.1241,81.1185,79.14,100,75,9.22,broken clouds
316,Porto Novo,BJ,6.4965,2.6036,82.22,89,54,4.9,broken clouds
317,Belaya Gora,RU,68.5333,146.4167,-47.54,100,99,1.23,overcast clouds
318,Nokaneng,BW,-19.6667,22.2667,71.26,72,100,3.53,overcast clouds
319,Viloco,BO,-16.95,-67.55,48.76,80,83,0.4,broken clouds
320,Yarmouth,US,41.7057,-70.2286,45.01,55,1,8.05,clear sky
321,Pombas,CV,17.1503,-25.0201,71.38,75,89,14.41,overcast clouds
322,Iqaluit,CA,63.7506,-68.5145,4.69,65,100,5.01,overcast clouds
323,Odessa,UA,46.4775,30.7326,46.33,100,90,8.95,mist
324,Methoni,GR,36.8197,21.7049,51.22,69,67,21.45,broken clouds
325,Vrangel,RU,42.7297,133.0839,22.3,39,0,19.33,clear sky
326,Rio Gallegos,AR,-51.6226,-69.2181,41.76,57,6,20.6,clear sky
327,Morondava,MG,-20.2833,44.2833,81.45,73,1,4.03,clear sky
328,Tyrma,RU,50.0833,132.1667,2.37,87,86,5.19,overcast clouds
329,Necochea,AR,-38.5473,-58.7368,58.03,62,43,7.0,light rain
330,Kudahuvadhoo,MV,2.6708,72.8944,80.51,76,99,4.38,overcast clouds
331,Kaeo,NZ,-35.1,173.7833,72.32,94,100,6.87,light rain
332,Oia,PT,40.5426,-8.5386,54.12,92,16,5.66,few clouds
333,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.84,99,100,1.72,overcast clouds
334,Ancud,CL,-41.8697,-73.8203,49.42,81,100,3.89,overcast clouds
335,Likasi,CD,-10.9814,26.7333,61.57,84,81,1.83,broken clouds
336,Mayo,US,38.8876,-76.5119,42.24,51,1,1.01,clear sky
337,Batemans Bay,AU,-35.7167,150.1833,87.19,60,1,8.01,clear sky
